,event_type,details_api,title,location,image
104,Cultural-Heritage,https://tik8.com/event/تکیه-معاون-الملک/,تکیه معاون الملک,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/3f5b2290-0844-11ea-be19-cd22a921425a.jpg
105,Cultural-Heritage,https://tik8.com/event/موزه-آذربایجان/,موزه آذربایجان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/d5eb52e0-0847-11ea-a16c-d3466decc745.jpg
106,Cultural-Heritage,https://tik8.com/event/باغ-جهانی-پهلوان-پور/,باغ جهانی پهلوان پور,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-12/1e3cefa0-14c9-11ea-b216-03d222aceab7.jpg
107,Cultural-Heritage,https://tik8.com/event/نارین-قلعه/,نارین قلعه,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/6e30cba0-084e-11ea-b937-6b52b4952893.jpg
108,Cultural-Heritage,https://tik8.com/event/حمام-زنانه-گنجعلی-خان/,حمام زنانه گنجعلی خان,"3,000 تومان",https://mno.tik8.com/thumbnail/2019-11/187c7b70-133b-11ea-b526-9f26afaf5054.jpg
109,Cultural-Heritage,https://tik8.com/event/زندان-اسکندر/,زندان اسکندر,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/467baef0-084f-11ea-8772-b3cd582dab12.jpg
110,Cultural-Heritage,https://tik8.com/event/حمام-گنجعلی-خان/,حمام گنجعلی خان,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/38b27400-133b-11ea-a218-e7401037d598.jpg
111,Cultural-Heritage,https://tik8.com/event/روستای-تاریخی-میمند/,روستای تاریخی میمند,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/7cea64a0-133b-11ea-9aed-f715f9d20b9c.jpg
112,Cultural-Heritage,https://tik8.com/event/باغ-شاهزاده-ماهان/,باغ شاهزاده ماهان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/d71439d0-0850-11ea-a079-9d9b4f92b9f3.jpg
113,Cultural-Heritage,https://tik8.com/event/قلعه-حسن-صباح-الموت/,قلعه حسن صباح الموت,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/6b420d80-0851-11ea-b74b-152f6245b1e6.jpg
114,Cultural-Heritage,https://tik8.com/event/تپه-هگمتانه/,تپه هگمتانه,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/862b1f30-0853-11ea-b774-a10d9fcfd52f.jpg
115,Cultural-Heritage,https://tik8.com/event/بازدید-از-آرامگاه-ابوعلی-سینا/,آرامگاه بوعلی,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/a57c0eb0-fedf-11e9-bb34-31c19ef8b053.jpg
116,Cultural-Heritage,https://tik8.com/event/آرامگاه-عطار/,آرامگاه عطار,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/eacedae0-0853-11ea-9f29-f319b506f4b8.jpg
117,Cultural-Heritage,https://tik8.com/event/موزه-نادری/,موزه نادری,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/571f9460-0854-11ea-bd8f-a911e8f0ba0a.jpg
118,Cultural-Heritage,https://tik8.com/event/مجموعه-زندیه/,مجموعه زندیه,"از 4,000 تومان",https://mno.tik8.com/thumbnail/2019-12/2248dfc0-14cb-11ea-9417-15eb355df137.jpg
119,Cultural-Heritage,https://tik8.com/event/موزه-بزرگ-خراسان/,موزه بزرگ خراسان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/aaa55430-085b-11ea-b727-b3e0b051bfdc.jpg
120,Cultural-Heritage,https://tik8.com/event/آرامگاه-خیام/,آرامگاه خیام,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/8dd784e0-085c-11ea-9d9d-370b87c96470.jpg
121,Cultural-Heritage,https://tik8.com/event/منارجنبان/,منارجنبان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/082289c0-085d-11ea-b93f-f549fc931b5d.jpg
122,Cultural-Heritage,https://tik8.com/event/باغ-فین/,باغ فین,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/001fe640-0863-11ea-b84d-cb2c36b3e5e0.jpg
123,Cultural-Heritage,https://tik8.com/event/مسجد-امام/,مسجد امام,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/f4a58180-0863-11ea-a492-19719004299d.jpg
124,Cultural-Heritage,https://tik8.com/event/مسجد-شیخ-لطف‌الله/,مسجد شیخ لطف‌الله,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/d4800420-133b-11ea-b5d5-cdd68bdfc428.jpg
125,Cultural-Heritage,https://tik8.com/event/باغ-موزه-چهلستون/,باغ موزه چهلستون,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/c15524e0-133b-11ea-9406-1bf344cec69a.jpg
126,Cultural-Heritage,https://tik8.com/event/معبد-آناهیتا/,معبد آناهیتا,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/25055010-133b-11ea-9779-99ea5462197a.jpg
127,Cultural-Heritage,https://tik8.com/event/خانه-بروجردی‌ها/,خانه بروجردی‌ها,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/2c4d0a30-0867-11ea-9c25-e9e915209849.jpg
128,Cultural-Heritage,https://tik8.com/event/عمارت-مسعودیه/,عمارت مسعودیه,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/140e3130-0868-11ea-aef5-7376ed8b0490.jpg
129,Cultural-Heritage,https://tik8.com/event/طاق-بستان/,طاق بستان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/75669740-133a-11ea-a0fb-530bf38723f0.jpg
130,Cultural-Heritage,https://tik8.com/event/موزه-فرش/,موزه فرش,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/0a5fd9a0-0b87-11ea-8fe8-ad169df220c5.jpg
131,Cultural-Heritage,https://tik8.com/event/موزه-نقاشی-پشت-شیشه/,موزه نقاشی پشت شیشه,"3,000 تومان",https://mno.tik8.com/thumbnail/2019-12/fc77f370-1bef-11ea-a28f-c59aa477690d.jpg
132,Cultural-Heritage,https://tik8.com/event/موزه-آبگینه-و-سفالینه/,موزه آبگینه و سفالینه,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/e5c11f10-0848-11ea-a992-83b5dc5d3c2b.jpg
133,Cultural-Heritage,https://tik8.com/event/موزه-رضا-عباسی/,موزه رضا عباسی,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/f968c520-0845-11ea-be0b-0b23b46f85c7.jpg
134,Cultural-Heritage,https://tik8.com/event/موزه-ملی-کاشان/,موزه ملی کاشان,"3,000 تومان",https://mno.tik8.com/thumbnail/2019-11/331729f0-0844-11ea-8d98-b9c6ca50d4f3.jpg
135,Cultural-Heritage,https://tik8.com/event/بازدید-از-موزه-ایران-باستان/,موزه ملی ایران,مشاهده و خرید بلیط,https://mno.tik8.com/thumbnail/2019-11/00c4cfb0-fef9-11e9-826b-6103a2b17553.jpg
136,Cultural-Heritage,https://tik8.com/event/مجموعه-فرهنگی،-تاریخی-نیاوران/,مجموعه فرهنگی، تاریخی نیاوران,"از 5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/7d0620a0-05f4-11ea-81a4-274d04ba9925.jpg
137,Cultural-Heritage,https://tik8.com/event/مجموعه-فرهنگی-تاریخی-سعدی/,مجموعه فرهنگی - تاریخی سعدی,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/dc5870d0-0ea7-11ea-b9cf-3fb0c963b608.jpg
138,Cultural-Heritage,https://tik8.com/event/مجموعه-تاریخی-نقش-رستم/,مجموعه تاریخی نقش رستم,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/2bf25580-133a-11ea-a60c-8792378fdb33.jpg
139,escape-room,https://tik8.com/event/اتاق-فرار-رویا-مجموعه-اتاق-فرار-انیگما/,اتاق فرار رویا,مجموعه اتاق فرار انیگما,https://mno.tik8.com/thumbnail/2020-2/019cd380-480b-11ea-985d-bbdcd53c2654.jpg
140,escape-room,https://tik8.com/event/اتاق-فرار-جنگل-آدم-خوارها-مجموعه-اسكای-اسكیپ/,اتاق فرار جنگل آدم خوارها,مجموعه اسكای اسكیپ,https://mno.tik8.com/thumbnail/2020-1/4f998f60-3789-11ea-88b7-e7b06669549c.jpg
141,escape-room,https://tik8.com/event/اتاق-فرار-قتل-در-هالووین/,اتاق فرار قتل در هالووین,مجموعه اتاق فرار اسکیپ اف هارور,https://mno.tik8.com/thumbnail/2020-1/d094ce20-377d-11ea-a5f3-892aff0b6f6a.jpg
142,escape-room,https://tik8.com/event/اتاق-فرار-جنگ-انیگما-مجموعه-اتاق-فرار-انیگما/,اتاق فرار جنگ,مجموعه اتاق فرار انیگما,https://mno.tik8.com/thumbnail/2020-1/9831dd30-35fd-11ea-9a39-db5a2cdcc6f7.jpeg
143,escape-room,https://tik8.com/event/اتاق-فرار-قتل-مرموز-مجموعه-اتاق-فرار-انیگما/,اتاق فرار قتل مرموز,مجموعه اتاق فرار انیگما,https://mno.tik8.com/thumbnail/2020-1/4555d0a0-35f5-11ea-ac9d-83b2cdc17bb8.jpg
144,escape-room,https://tik8.com/event/اتاق-فرار-روانی-مجموعه-اتاق-فرار-انیگما/,اتاق فرار روانی,مجموعه اتاق فرار انیگما,https://mno.tik8.com/thumbnail/2020-1/cc014e30-35fc-11ea-8eb2-11626611f7b6.jpeg
145,escape-room,https://tik8.com/event/اتاق-فرار-کلبه-مجموعه-اتاق-فرار-انیگما/,اتاق فرار کلبه,مجموعه اتاق فرار انیگما,https://mno.tik8.com/thumbnail/2020-1/16f884d0-35ee-11ea-a32e-cdf69f7c719d.jpg
146,escape-room,https://tik8.com/event/اتاق-فرار-بازی-حلقه-ژوپیتر-اسکیپ/,اتاق فرار بازی حلقه,ژوپیتر اسکیپ,https://mno.tik8.com/thumbnail/2020-1/6cd2e940-3471-11ea-945f-b177655a37cb.jpg
147,escape-room,https://tik8.com/event/اتاق-فرار-طلسم-سیاه/,اتاق فرار طلسم سیاه,مجموعه دارک روم,https://mno.tik8.com/thumbnail/2020-1/2ff15f40-3143-11ea-8b92-c90da5546d95.jpg
148,escape-room,https://tik8.com/event/اتاق-فرار-تالار-مرگ/,اتاق فرار تالار مرگ,مجموعه مگا اسکیپ,https://mno.tik8.com/thumbnail/2020-1/2a82f230-313f-11ea-ad42-53b31172dc5a.jpg
